Cost,Recall,Latency,Disruption,Carbon,solution_label
0.0,0.6491737314825523,0.3107331707798973,0.34961957199622234,0.6435575723301622,1:Camera|Traditional
0.01892545244086906,0.06331345540018486,0.6299885524237433,0.37563478911637355,0.7024484246074433,2:Camera|Traditional
0.04685659583146848,0.1120186279699033,0.8681506977834312,1.0,0.5462511224847855,3:Camera|DL
0.05022895667464228,0.6783786052450104,0.7519113276409072,0.34961957199622234,0.6368324338736543,4:Camera|Traditional
0.05988531481957324,0.059331373795068344,0.48988368644117186,0.34961957199622234,1.0,5:Camera|Traditional
0.061642075989591566,0.6313307977744352,0.3063530204711809,0.6878173945581867,0.5451803325347581,6:Camera|Traditional
0.062157155126834736,0.09205136723673737,0.3086641874170811,0.6878173945581867,0.5503795684112976,7:Camera|Traditional
0.06317284926388377,0.32692772874668485,0.9677711926621627,0.34961957199622234,0.634257707700552,8:Camera|Traditional
0.06609002047202546,0.6277916379912177,0.3107340669059928,0.6409900037419147,0.6385785440255516,9:Camera|Traditional
0.06937916985718803,0.014132469966013606,0.31398397052227567,0.34961957199622234,0.6339949864995522,10:Camera|ML
0.07014590696228336,0.7259021069358021,0.8634410377612676,1.0,0.5539785390179616,11:Camera|Traditional
0.07951121767950829,0.07049989537623629,0.5918846418680612,0.6878173945581867,0.84332064035436,12:Camera|Traditional
0.10352966570107298,0.09141864215889743,0.3089308293614258,0.37563478911637355,0.5816880951736559,13:Camera|Traditional
0.10554222081389088,0.0909220763299084,0.30808239424352263,0.34961957199622234,0.6563722854642028,14:Camera|Traditional
0.12597770315100873,0.09141864215889743,0.30866586744033797,1.0,0.5784626089084778,15:Camera|Traditional
0.4157618417999588,0.0909220763299084,0.3299749570441747,0.37563478911637355,0.5836784549515681,16:Camera|Traditional
0.41775434891675445,0.09091637534267857,0.3292902424777518,0.34961957199622234,0.6605042030468604,17:Camera|Traditional
0.4261513083560037,0.09065398976905327,0.3293012188651682,0.6409900037419147,0.6606348004954562,18:Camera|Traditional
0.6034259443080049,0.2812639373898902,0.3515076710488079,0.01167477414871439,0.0017003039813894116,19:IoT|Traditional
0.6174338839171678,0.005458307911758366,0.00038565902473923746,0.0,0.0023238225052093363,20:IoT|DL
0.6277562083092664,0.0944413306117349,0.04033598564070064,0.023349548297428777,0.0017727725613999534,21:IoT|Traditional
0.6473004986676638,0.6195576531057178,0.0,0.0,0.0017127149133393295,22:IoT|Traditional
0.6546152527749733,0.00821103105615132,0.5968733247743666,0.023349548297428777,0.0,23:IoT|DL
0.6714915589079115,1.0,0.013845579648283255,0.023349548297428777,0.0017292449731624918,24:IoT|Traditional
0.6714916168002427,0.25998706023054863,0.045982693574851984,0.023349548297428777,0.0017418381361483496,25:IoT|Traditional
0.6737216223909478,0.47314662855785516,0.5186891599857874,0.023349548297428777,1.720854404594869e-05,26:IoT|Traditional
0.674932452718581,0.09093344970433094,0.40920797633578204,0.023349548297428777,0.0017289808967092105,27:IoT|Traditional
0.6875516632983925,0.09093717466200477,1.0,0.023349548297428777,3.948969361468218e-05,28:IoT|Traditional
0.7289412047066388,0.0,0.02045153258355129,0.0,0.00023573813536503343,29:IoT|ML
0.9862507749081748,0.47060722071929484,0.029294305620518636,0.023349548297428777,4.808842751938452e-05,30:IoT|Traditional
1.0,0.06029718813828901,0.020561404452299824,0.023349548297428777,0.0005101569917210819,31:IoT|Traditional
