representative,Cost,Recall,Latency,Disruption,Carbon
Min Cost,1.0,0.35082626851744775,0.6892668292201027,0.6503804280037777,0.3564424276698378
Max Recall,0.3825661160828322,0.9945416920882416,0.9996143409752608,1.0,0.9976761774947907
Balanced,0.9810745475591309,0.9366865445998152,0.3700114475762567,0.6243652108836264,0.2975515753925567
Min Latency,0.3526995013323362,0.38044234689428225,1.0,1.0,0.9982872850866606
Min Carbon,0.34538474722502666,0.9917889689438487,0.4031266752256334,0.9766504517025713,1.0
